ad,media
[F9201P028] LABORATORIO DI PROGETTAZIONE,7.5
[E3901N008] PRINCIPI E FONDAMENTI DEL SERVIZIO SOCIALE,7.5
[E3101Q122] PROGRAMMAZIONE E AMMINISTRAZIONE DI SISTEMA,7.5
[I0302D002] SCIENZE BIOMEDICHE,7.4
[E4101B004] LABORATORIO DI INFORMATICA,7.4
[E3301M135] MANAGEMENT E SISTEMA FINANZIARIO,7.4
[E0201Q053] ORGANI E FUNZIONI,7.375
[F7702M023] ULTERIORI CONOSCENZE LINGUISTICHE PER IL MARKETING - INGLESE,7.333333333333333
[E2401P032] COUNSELLING,7.333333333333333
[E2004P039] METODI E STRUMENTI DI INDAGINE NEL CICLO DI VITA,7.333333333333333
[E1901R081] PSICOLOGIA DELLO SVILUPPO,7.333333333333333
[E1501N077] ORGANIZZAZIONE DELLE STRUTTURE TURISTICHE,7.333333333333333
[F9201P009] PSICOLOGIA DEI CONSUMI,7.25
[E2702Q001] MATEMATICA I,7.166666666666667
[E1802M130] LINGUA- SPAGNOLO,7.166666666666667
[E1801M050] LINGUA - FRANCESE,7.166666666666667
[A5810036] DIRITTO ROMANO,7.166666666666667
[F8501R008] POLITICHE SOCIALI II,7.142857142857143
